web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,29/04/2023,05/05/2023,509,509,,782774,0.0,Résidence Domanial B,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/07/2023,28/07/2023,1229,1229,,781814,0.0,Résidence Grepon,La Clusaz - Haute Savoie,,29,"('38',)",LA CLUSAZ
,14/04/2023,08/07/2023,14/07/2023,1210,1210,,781864,0.0,Résidence Nant Soleil A,La Clusaz - Haute Savoie,,27,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,3211,3211,,781704,0.0,Résidence Flomatines,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,542,542,,782614,0.0,Résidence Crystal,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,383,383,,781124,0.0,Residence De La Piscine,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,693,693,,782094,0.0,Résidence Aravis 1500,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,550,550,,782384,0.0,Résidence Danais,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,03/06/2023,09/06/2023,540,540,,782794,0.0,Résidence Les Capucines,La Clusaz - Haute Savoie,,22,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,518,518,,783394,0.0,Résidence Noisettes,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,903,903,,782014,0.0,Résidence Gotty Joly 7,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,857,857,,782044,0.0,Résidence Lyckrete,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,959,959,,781944,0.0,Résidence Lodge Perriere,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
